"state_1","District","Region","Sector","State_Region","Meals_At_Home","ricepds_v","Wheatpds_q","chicken_q","pulsep_q","wheatos_q","No_of_Meals_per_day","total_consumption"
"CHTSD","Durg",2,"URBAN",222,60,0,0,0.6,0,4,2,4.6
"CHTSD","Durg",2,"URBAN",222,54,0,0,0.25,0,5,2,5.25
"CHTSD","Durg",2,"URBAN",222,60,0,0,0.5,0,1.666666667,2,2.166666667
"CHTSD","Durg",2,"URBAN",222,40,0,1.75,0,0,0,2,1.75
"CHTSD","Durg",2,"URBAN",222,60,0,0,0.166666667,0,1.666666667,2,1.833333334
"CHTSD","Durg",2,"URBAN",222,60,7,0,0,0,2,2,9
"CHTSD","Durg",2,"URBAN",222,60,6.666666667,2.5,0.5,0,0,2,9.666666667
"CHTSD","7",2,"URBAN",222,60,0,0,0,0,3,2,3
"CHTSD","7",2,"URBAN",222,60,0,0,0,0,4.285714286,2,4.285714286
"CHTSD","7",2,"URBAN",222,60,0,0,0,0,4.285714286,2,4.285714286
"CHTSD","7",2,"URBAN",222,60,0,0,0,0,4,2,4
"CHTSD","7",2,"URBAN",222,60,0,0,0,0,3.333333333,2,3.333333333
"CHTSD","7",2,"URBAN",222,60,0,0,0.4,0,4,2,4.4
"CHTSD","7",2,"URBAN",222,60,0,0,0.5,0,3,2,3.5
"CHTSD","8",2,"URBAN",222,0,0,0,0,0,0,2,0
"CHTSD","8",2,"URBAN",222,0,0,0,0,0,0,2,0
"CHTSD","8",2,"URBAN",222,60,0,0,0.25,0,2.5,2,2.75
"CHTSD","8",2,"URBAN",222,60,0,0,0.25,0,0,2,0.25
"CHTSD","8",2,"URBAN",222,60,0,0,0.375,0,2.5,2,2.875
"CHTSD","8",2,"URBAN",222,60,0,0,0.1,0,3,2,3.1
"CHTSD","8",2,"URBAN",222,60,15,0,0.25,0,0,2,15.25
"CHTSD","8",2,"URBAN",222,60,0,0,0.3,0,2,2,2.3
"CHTSD","Durg",2,"URBAN",222,60,0,0,0.416666667,0,1.666666667,2,2.083333334
"CHTSD","Durg",2,"URBAN",222,60,0,0,0.375,0,2.5,2,2.875
"CHTSD","Durg",2,"URBAN",222,60,17.5,0,0.5,0,2.5,2,20.5
"CHTSD","Durg",2,"URBAN",222,60,0,0,0.5,0,2,2,2.5
"CHTSD","Durg",2,"URBAN",222,60,0,0,0.5,0,5,2,5.5
"CHTSD","Durg",2,"URBAN",222,60,14,0,0,0,2,2,16
"CHTSD","Durg",2,"URBAN",222,90,0,0,0.25,0,3.75,3,4
"CHTSD","7",2,"URBAN",222,60,0,0,0,0,2,2,2
"CHTSD","7",2,"URBAN",222,60,0,0,0,0,2,2,2
"CHTSD","7",2,"URBAN",222,60,0,0,0.375,0,1.75,2,2.125
"CHTSD","7",2,"URBAN",222,60,0,0,0.4,0,2.4,2,2.8
"CHTSD","7",2,"URBAN",222,60,0,0,0.4,0,1,2,1.4
